first_comment_has_lex~reply_has_lex~count
First Comment with HSL~Reply with HSL~18
First Comment with HSL~Reply with no HSL~150
First Comment with no HSL~Reply with HSL~89
First Comment with no HSL~Reply with no HSL~3271
