ဝူဟန်
မြို့သား
ဗိုင်းရပ်စ်
ကိုရိုနာ
Corona
Covid
quarantine
wuhan
virus
ရောဂါ
ဆေးရုံ
Covid-19
ကိုရိုနာဗိုင်းရပ်ပိုး
ကိုရိုနာဗိုင်းရပ်
သံသယ
လူနာ
စောင့်ကြည့်
ဆေးရုံကြီး
သေဆုံး
ကူးစက်
ဗိုင်းရပ်
ကိုရိုနာဗိုင်းရပ်စ်ပိုး
ကိုရိုနာဗိုင်းရပ်စ်
chinese virus
တရုတ်
ကိုဗစ်(၁၉)
ကိုဗစ်
